"year","gamma_median","gamma_lcl","gamma_ucl","spring_total","spring_var","spring_units","spring_df","fall_total","fall_var","fall_units","fall_df","mean_total","mean_var","mean_units","mean_df","mean_lcl","mean_ucl","mean_sigma","mean_scale","mean_shape","p_bmsy","p_lrp","p_fixed_lrp"
1991,24067808.5871244,14814101.1532471,36113046.1402622,15278103.5887642,41.5403975939375,813673.823529412,1.57890521792067,34617581.3619909,423.871246069387,771167.447963801,1.51028377378932,24947842.4753776,116.352910915831,792420.635746606,1.544594495855,-24451385.5417201,74347070.4924752,8547604.18679595,2928571.37470866,8.51877563607593,1,0.4958,0.4932
1992,35373086.7516159,24995482.2788895,47942570.202702,15960633.3981357,44.3533073818742,813673.823529412,1.29511180986711,56246814.5795927,499.242326977605,737464.981900452,3.45574805008836,36103723.9888642,135.89890858987,775569.402714932,2.37542992997774,2538895.20422026,69668552.7735082,9041253.6135481,2264150.56047154,15.945814125252,0.9996,0.0768,0.0754
1993,65961554.7054798,46508564.548418,90257715.4174838,83873646.98319,1645.12166172226,813673.823529412,2.2040697963872,51781753.90954,170.852697980029,813673.823529412,3.12347716879054,67827700.446365,453.993589925573,813673.823529412,2.66377348258887,8496583.38870532,127158817.504025,17337050.1375383,4431424.11571502,15.3060728730139,0.7752,2e-04,4e-04
1994,111575998.55445,85914222.3220176,141807629.572379,172264635.781792,2539.17240422641,826879.687782805,1.60334031926172,53324074.8200905,256.98486041015,826879.687782805,4.28066440719627,112794355.300941,699.03931615914,826879.687782805,2.942002363229,42436790.616075,183151919.985807,21862162.8451438,4237394.35357716,26.6188005857235,0.0561,0,0
1995,178286753.381784,135090792.253788,228674544.99597,234648430.763036,3628.55129790527,826879.687782805,4.80040440900497,125578365.229825,4166.14071203857,826879.687782805,1.17604942236287,180113397.996431,1948.67300248596,826879.687782805,2.98822691568392,63689699.4605538,296537096.532307,36501592.1186726,7397374.33205465,24.3482876371356,5e-04,0,0
1996,58196642.2320608,28517106.2333401,102902021.728237,102694720.403018,5670.79598998339,826879.687782805,1.0272301708428,22974032.2720889,167.139797193074,752184.018099547,2.07089356123114,62834376.3375534,1459.48394679412,789531.852941176,1.54906186603697,-110808945.671695,236477698.346802,30162637.6686811,14479091.9264428,4.33966278111685,0.7463,0.0585,0.056
1997,81336416.71359,47121047.0426652,128991430.464436,15699100.9312638,180.064519219582,826879.687782805,1.00585731687756,154622068.31199,6093.15342402327,812435.773755656,1.56782183078754,85160584.6216271,1568.30448581071,819657.730769231,1.28683957383255,-162554431.760385,332875601.003639,32459941.4185618,12372481.9595576,6.88306395596249,0.4748,0.0054,0.0051
1998,111811727.340089,63023107.0235569,180260477.478351,159313251.102551,10653.6714611455,826879.687782805,1.08082591296649,75648879.0070271,2306.49541446405,826879.687782805,1.05334864657056,117481065.054789,3240.0417189024,826879.687782805,1.06708727976853,-398637135.448873,633599265.558451,47067119.9778096,18856773.0635773,6.23017865563165,0.2177,9e-04,0.001
1999,80554547.1710588,58504991.897149,108305192.063927,122549959.709335,2181.18401760401,826879.687782805,5.01651508232283,42100084.7167697,251.178285861816,746406.452488688,3.47293299966488,82325022.2130524,608.090575866456,786643.070135747,4.24472404099386,29669702.1836786,134980342.242426,19398218.976057,4570796.2090704,18.0110900699718,0.4827,1e-04,0
2000,71545252.357829,62722656.4717723,80918675.1049889,83507742.2514191,260.0183322364,826879.687782805,4.4002395396147,59926412.8866901,39.9870629953681,826879.687782805,6.61557541725989,71717077.5690546,75.001348807942,826879.687782805,5.5079074784373,53808041.2557049,89626113.8824043,7161052.54662768,715041.316709899,100.297809221773,0.8322,0,0
2001,31366683.9560545,24323139.5461911,39711719.6233363,26183496.6730417,25.7287073589868,826879.687782805,4.79006691073222,37285577.5217622,182.846840391776,826879.687782805,6.07577577311385,31734537.097402,52.1438869376907,826879.687782805,5.43292134192304,16746377.5891845,46722696.6056194,5970958.11055747,1123455.51625994,28.2472573574148,1,0.0924,0.0857
2002,26771261.6492283,20612571.6706015,33879130.0306936,20126265.5969281,16.8221134176727,826879.687782805,3.68864877023781,33969139.1305702,144.203737562518,826879.687782805,5.76361526853484,27047702.3637492,40.2564627450476,826879.687782805,4.72613201938632,13322960.4075258,40772444.3199725,5246384.65993647,1017629.94985137,26.5791139182762,1,0.2914,0.2868
2003,23921162.5292025,18671643.7717292,30066577.6575912,29641973.0056787,86.5899759516422,826879.687782805,2.65465342969561,18600875.789996,27.0430992512449,826879.687782805,1.44410397194289,24121424.3978374,28.4082688007218,826879.687782805,2.04937870081925,5589869.23452602,42652979.5611487,4407219.7744601,805242.087699165,29.9554938400699,1,0.4983,0.4991
2004,54483567.2922835,33204820.7188141,82468046.61649,85169602.2445173,2062.59205422511,826879.687782805,2.04089816485308,27631217.1959653,132.040768329008,826879.687782805,1.31936207677685,56400409.7202413,548.658205638528,826879.687782805,1.68013012081497,-44148068.5765305,156948888.017013,19368378.47767,6651265.2428417,8.47965126348573,0.8757,0.0207,0.0204
2005,48865703.7688222,40048875.854619,58799104.7815792,60137693.4142614,271.721369323427,826879.687782805,1.3823577985467,38125419.3745088,28.7624238007993,826879.687782805,2.15537435827499,49131556.3943851,75.1209482810567,826879.687782805,1.76886607841085,14093343.2817407,84169769.5070296,7166759.89031838,1045406.47793006,46.997562605186,0.9997,0,0
2006,52726506.6585236,41927401.138313,65585306.4533538,NA,NA,NA,NA,53290587.5694379,521.53599122266,808446.502262443,1.57890202118539,53290587.5694379,130.383997805665,808446.502262443,1.57890202118539,1474231.26034239,105106943.878533,9231312.07387763,1599102.70259791,33.3253064251981,0.9919,0,1e-04
2007,75979806.3746541,46137732.0136831,116206217.739152,92201967.4447079,4112.08058121651,826879.687782805,2.03616834196042,66681901.2723348,479.875501287218,826879.687782805,4.79188706049983,79441934.3585214,1147.98902062593,826879.687782805,3.41402770123013,-3902982.78691936,162786851.503962,28016326.5581731,9880355.50936958,8.04039229997203,0.5518,0.0036,0.0036
2008,72439368.099905,61470718.2952562,85022058.4935088,68519117.0316003,246.179155692006,826879.687782805,4.71340678282526,77562439.0138838,249.334874855349,826879.687782805,3.45540098144623,73040778.0227421,123.878507636839,826879.687782805,4.08440388213575,47695418.9296141,98386137.11587,9203230.64280944,1159618.73021635,62.986890535232,0.7532,0,0
2009,95135864.9179492,81676507.6610896,110266121.33879,87361977.2157366,297.628915846419,826879.687782805,2.17117651076759,104012729.862689,458.465226938807,810234.79638009,2.46364846520349,95687353.5392129,189.023535696306,818557.242081448,2.31741248798554,53097246.4102801,138277460.668146,11254002.2183856,1323608.20157416,72.2928079664454,0.0858,0,0
2010,141547670.351425,99595828.0002331,195468402.452913,139959860.706781,3388.1345586786,826879.687782805,2.89860090009247,149819100.950538,4883.92649192641,826879.687782805,1.31790370848645,144889480.82866,2068.01526265125,826879.687782805,2.10825230428946,-9195975.86000809,298974937.517327,37602714.1692858,9758914.8971353,14.8468843468644,0.0193,0,0
2011,159805752.438619,112295674.078098,219034227.901212,201457378.940793,5219.5743664527,812435.773755656,7.15070867354749,124539001.424113,5502.13555847439,826879.687782805,1.05397967655132,162998190.182453,2680.42748123177,819657.730769231,4.10234417504941,46327156.3792558,279669223.98565,42436012.6627145,11048068.5012166,14.7535463021889,0.0097,0,0
2012,187928910.067225,130610349.902753,260291176.141025,232296706.377051,8176.57129286301,826879.687782805,3.12986790033602,154233984.537547,7351.95588909537,826879.687782805,1.2007607604952,193265345.457299,3882.1317954896,826879.687782805,2.16531433041561,-12954309.9466475,399485000.861246,51520190.6311656,13734123.085497,14.0719101069791,0.0027,0,0
2013,76426411.7569597,64493510.8777728,89668556.9987082,72633624.3973203,421.005504592264,826879.687782805,3.7639476396868,81122759.1747094,156.871973925401,826879.687782805,4.93353066286242,76878191.7860148,144.469369629416,826879.687782805,4.34873915127461,50135079.5243785,103621304.047651,9938714.43935095,1284864.30822807,59.8337048462618,0.6123,0,0
2014,169574826.842539,120151733.22807,230080848.495334,172583478.954389,10807.2700746157,826879.687782805,1.64592720082121,NA,NA,NA,NA,172583478.954389,2701.81751865393,826879.687782805,1.64592720082121,-56225614.5063798,401392572.415158,42980387.8628977,10703885.1692944,16.123442677568,0.0045,0,0
2015,59346614.4226035,48526785.2355602,71901638.3782168,76615098.9303635,329.116757579272,826879.687782805,7.83210507486616,43117561.0427149,172.999112682482,826879.687782805,3.41994651620738,59866329.9865392,125.528967565438,826879.687782805,5.62602579553677,36826990.2652536,82905669.7078248,9264336.09394371,1433659.34208505,41.7577092613036,0.9694,0,0
2016,44873442.2016742,26449605.1285389,70209300.4930578,64055873.1570121,1842.60399540212,785611.36199095,1.09065077511194,30394214.8605726,43.787596956372,810234.79638009,2.31471350215912,47225044.0087924,471.597898089623,797923.07918552,1.70268213863553,-41308169.2013899,135758257.218975,17327940.866621,6358014.92575022,7.42763968947745,0.9534,0.0681,0.0669
2017,60922574.391648,36377583.8843099,94935709.6507681,88539741.8195933,3020.38616295003,826879.687782805,1.17987713421761,39768141.3551101,333.052422175224,814086.50678733,1.3673375012968,64153941.5873517,838.359646281313,820483.097285068,1.27360731775721,-120400015.402484,248707898.577187,23756629.3278243,8797237.13080336,7.29251020899708,0.7752,0.0162,0.016
2018,43372660.4320112,36351708.4001452,51122064.1392144,34011385.4219909,104.559060408123,826879.687782805,2.6299114896192,53238783.0776089,89.562419096792,826879.687782805,2.98061085480375,43625084.2497999,48.5303698762288,826879.687782805,2.80526117221148,24551679.4076392,62698489.0919606,5760353.34613341,760609.893205252,57.3553994491991,1,0,0
2019,47644234.7727315,38780861.3448097,57925819.7188459,49483302.279094,200.597755145749,808446.502262443,2.97254940614655,46594076.688547,137.623393662942,826879.687782805,2.92971678687829,48038689.4838205,84.5552872021728,817663.095022624,2.95113309651242,23885002.0406928,72192376.9269482,7518735.04656336,1176788.48669383,40.821855437067,0.9994,1e-04,1e-04
2020,46339042.9372772,43245976.7915095,49588157.6256751,NA,NA,NA,NA,46398696.5710533,35.6487276155841,826879.687782805,1.87309766918781,46398696.5710533,8.91218190389601,826879.687782805,1.87309766918781,35057302.8339831,57740090.3081235,2468506.8957113,131329.686920038,353.299377004561,1,0,0
